Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary
Metal Gear Solid 3: Snake Eater,"Nov 17, 2004","['Konami Computer Entertainment Japan', 'Konami']",4.5,1500.0,1500.0,"['Adventure', 'Shooter', 'Tactical']","Metal Gear Solid 3: Snake Eater is the prequel to the entire Metal Gear series. Most of the series' defining gameplay elements have been carried over and as before, Snake must use stealth and wits rather than brute force to infiltrate enemy zones and eliminate his major adversaries. Unlike the previous games, this installment takes place in a large outdoor jungle. Snake is able to use camouflage, climb trees, hide in tall grass or wear clothes that make him less noticeable."
Journey,"Mar 13, 2012","['Sony Computer Entertainment', 'ThatGameCompany']",3.9,1500.0,1500.0,"['Adventure', 'Platform']","A third-person adventure game in which the player, controlling a robed figure, makes a pilgrimage through a desert landscape to a rugged mountain with a beacon of light in the distance while uncovering the history of their people, rescuing and cooperating with friendly creatures, avoiding predatory ones and communicating with other travelers."
Kingdom Hearts,"Mar 28, 2002","['Square', 'Disney Interactive Studios']",3.6,1300.0,1300.0,"['Adventure', 'RPG']","Kingdom Hearts is an action role-playing game developed and published by Squaresoft for the PlayStation 2. It is the result of a collaboration between Square and The Walt Disney Company. The game combines characters and settings from Disney's animated features with those from the Final Fantasy series, developed by Square.
             

              Kingdom Hearts was a departure from Square's standard role-playing games by introducing a substantial action-adventure element. In addition, it has an all-star voice cast which included many of the Disney characters' official voice actors. Kingdom Hearts was longtime Square character designer Tetsuya Nomura's first time in a directorial position.
             

              The game uses an experience based progression system, with experience gained by defeating foes. Experience gained rises in relation to the strength of the foe, and is consistent for each enemy over the course of the game. Levels are gained with experience, and provide increases to stat attributes in strength, defence, magic, hit points, magic points and ability points, with a new, predetermined ability unlocked approximately every four levels."
Titanfall 2,"Oct 28, 2016","['Respawn Entertainment', 'Electronic Arts']",4.1,1300.0,1300.0,"['Adventure', 'Shooter']","Titanfall 2 will deliver a crafted experience that explores the unique bond between man and machine. Playable offline, the single player campaign in Titanfall 2 will let fans step out onto the Frontier as a Militia rifleman with aspirations of becoming an elite Pilot. Stranded behind enemy lines and facing overwhelming odds, players must team up with a veteran Titan to uphold a mission they were never meant to carry out."
Doom,"Dec 10, 1993","['Activision', 'id Software']",4.0,1400.0,1400.0,['Shooter'],"In the future, humans have left Earth and settled throughout the galaxy. On Mars, the Union Aerospace Corporation has established a radioactive waste facility and allowed the military to conduct teleportation experiments on the nearby moons of Deimos and Phobos. Hours ago, the base on Mars began receiving incoherent distress messages from Phobos, while Deimos has disappeared completely. With all attempts to establish contact failing, you and your team have been dispatched to investigate. Upon arrival, you secure the perimeter as the rest of your team enters the facility. As you stand guard, your radio crackles with the sound of gunfire, cracking bones and blood-curdling screams and eventually falls silent. Alone, with no way off the planet or means to defend yourself other than your trusty pistol, there’s only one way out - into the complex of death and the horrors that await you within. If you plan to get out of here alive you must fend off the hordes of demonic imps, haunting spectres and your undead, former comrades waiting to tear you limb from limb. So, grab the nearest shotgun and blast your way out of this fragging madness!"
Live A Live,"Jul 22, 2022",['Square Enix'],4.1,555.0,555.0,['RPG'],"Previously unreleased outside of Japan, the RPG game Live a Live is releasing on the Nintendo Switch system in the HD-2D style!
             

              Seven different stories featuring different protagonists, time periods, and gameplay styles await. In The Wild West, a wanderer with a bounty on his head fights for his life. In the Twilight of Edo Japan, a shinobi undertakes a secret mission. Experience these tales in any order you choose—the adventure is yours to control. What other stories will you uncover on the horizon...?"
The Last of Us Remastered,"Jul 26, 2014","['Naughty Dog', 'Sony Computer Entertainment']",4.3,1100.0,1100.0,"['Adventure', 'Shooter']","The Last of Us Remastered is an updated release of the PS3 game The Last of Us. It is identical to the PS3 version but runs at a 1080p resolution and incorporates character models with a higher resolution. There are also improved shadows and lighting, upgraded textures, 60 frames per second and other types of improvements. In addition to the base game, two map packs and the expansion The Last of Us: Left Behind are included."
Sonic the Hedgehog,"Jun 23, 1991","['Sonic Team', 'Sega']",3.1,1100.0,1100.0,['Platform'],"Sonic the Hedgehog is a 2D, side-scrolling platformer, whose gameplay centers around Sonic's ability to run at high speed through levels incorporating springs, slopes, high falls, and loop-the-loops. The levels contain hazards in the form of robots (""badniks"" in the Western game manuals) in which Dr. Robotnik has trapped animals. Although destroying a robot frees the animal within, this is not required to complete the game. The player must avoid rows of sharp spikes, falling into bottomless pits, being crushed by moving walls or platforms, and drowning (which can be avoided by breathing air bubbles periodically released from vents). Sonic's main attack is his spin, where he curls into a ball and rotates rapidly (damaging enemies and some obstacles). This can be performed by jumping in the air or rolling on the ground.
             

              Scattered around each level map are gold rings and collecting 100 rings rewards the player with an extra life. Rings are a layer of protection against hazards; if Sonic has at least one ring when he collides with an enemy, he will survive. However, all his rings will be scattered; they will flicker and disappear in a few seconds if they are not picked up again. If Sonic is hit without any rings, he loses a life. Although shields and temporary invincibility may be collected to provide additional protection, certain hazards (such as drowning, being crushed, falling down a bottomless pit or running out of time) will cost Sonic a life regardless of rings or other protection.
             

              The game is divided into six zones (Green Hill, Marble, Spring Yard, Labyrinth, Star Light, and Scrap Brain), each with its own visual style and enemies. A player must navigate through each zone (subdivided into three acts) to progress.
             

              At the end of each zone's third act, the player confronts Dr. Robotnik (who pilots a different vehicle each time) in a boss fight. After the sixth zone, the player continues directly to the Final Zone for a last encounter with Robotnik. They begin with three lives (power-ups and rings add more), which are lost when Sonic collides with hazardous enemies (or objects) without rings, falls off-screen or exceeds an act's ten-minute time limit. Lampposts acting as checkpoints allow Sonic to return to the most-recently activated post when he loses a life. If he loses a life as a result of time running out but has another life, the timer will reset to 0:00 when he returns to the checkpoint. If all lives are lost at any point in the game, the game over screen will appear (when the player can return to the beginning of the act with three lives, if they have any continues).
             

              When Sonic reaches the end of act one or act two of a zone with at least fifty rings, a large ring appears through which he can jump to enter a Special Stage (a ""Secret Zone"" in the original Genesis manual). In each of six Special Stages, Sonic bounces off the bumpers and walls of a rotating maze in spin attack. Although the player earns a continue with each 50 rings found, their main goal is to obtain the Chaos Emerald at the end of the maze without colliding with a ""goal block"" (which ends the level)."
Rocket League,"Jul 06, 2015",['Psyonix'],3.4,917.0,917.0,"['Indie', 'Racing', 'Sport']","Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special “Mutators” that let you change the rules entirely, hockey and basketball-inspired Extra Modes, and more than 500 trillion possible cosmetic customization combinations."
Batman: Arkham Knight,"Jun 23, 2015","['Rocksteady Studios', 'Warner Bros. Interactive Entertainment']",3.7,1200.0,1200.0,"['Adventure', 'Brawler']","Batman: Arkham Knight brings the award-winning Arkham trilogy from Rocksteady Studios to its epic conclusion. Developed exclusively for New-Gen platforms, Batman: Arkham Knight introduces Rocksteady's uniquely designed version of the Batmobile. The highly anticipated addition of this legendary vehicle, combined with the acclaimed gameplay of the Arkham series, offers gamers the ultimate and complete Batman experience as they tear through the streets and soar across the skyline of the entirety of Gotham City. In this explosive finale, Batman faces the ultimate threat against the city that he is sworn to protect, as Scarecrow returns to unite the super criminals of Gotham and destroy the Batman forever."
Bayonetta 3,"Oct 28, 2022","['PlatinumGames', 'Nintendo']",3.7,690.0,690.0,['Brawler'],"You’ve waited long enough. The witch. Is. Back! A new-look Bayonetta returns to battle foes with her signature Witch Time! This time, she’ll wield her new Demon Masquerade ability to channel the power of demons and engage in larger-than-life action."
Disco Elysium,"Oct 15, 2019",['ZA/UM'],4.6,1100.0,1100.0,"['Adventure', 'RPG', 'Turn Based Strategy']","A CRPG in which, waking up in a hotel room a total amnesiac with highly opinionated voices in his head, a middle-aged detective on a murder case inadvertently ends up playing a part in the political dispute between a local labour union and a larger international body, all while struggling to piece together his past, diagnose the nature of the reality around him and come to terms with said reality."
Guilty Gear: Strive,"Jun 11, 2021","['Bandai Namco Studios', 'Arc System Works']",3.9,810.0,810.0,['Fighting'],"Discover the Smell of the Game with Guilty Gear: Strive! Immerse yourself in new gameplay mechanics designed to be simple and welcoming for fighting game newcomers, yet deep and creative for veterans. Ride the Fire into a heavy metal inspired alternate future full of over-the-top action, style and fun!"
Wii Sports,"Nov 19, 2006","['Nintendo', 'Nintendo EAD Group No. 2']",3.7,775.0,775.0,"['Simulator', 'Sport']","Bowl like a pro or go for that home run...
              
              Experience Tennis, Baseball, Golf, Bowling and Boxing as you never did before. Thanks to the Wii Remote, each sport will be immediately familiar and easy to play. And, when you feel ready, challenge your friends and family: everybody will be in for some serious Wii Sports fun!"
Hogwarts Legacy,"Feb 10, 2023","['Portkey Games', 'Avalanche Software']",3.5,474.0,474.0,"['Adventure', 'RPG']","Hogwarts Legacy is an immersive, open-world action RPG set in the world first introduced in the Harry Potter books. Now you can take control of the action and be at the center of your own adventure in the wizarding world. Embark on a journey through familiar and new locations as you explore and discover fantastic beasts, customize your character and craft potions, master spell casting, upgrade talents, and become the wizard you want to be. Discover the feeling of living at Hogwarts as you make allies, battle Dark wizards, and ultimately decide the fate of the wizarding world. Your legacy is what you make of it."
Mario Kart Wii,"Apr 10, 2008","['Nintendo', 'Nintendo EAD']",3.9,1000.0,1000.0,['Racing'],"Mario Kart Wii is a multiplayer-oriented racing game for the Wii, and the sixth main installment in the Mario Kart series. Mario Kart Wii retains the traditional item-based weaponry familiar with the franchise, where players can select a Mario franchise driver and themed vehicles. As with most racing games, the overarching goal is to place first among other competitors, through the usage of such items and taking the fastest routes to secure the leads. Several new key elements introduced to Mario Kart Wii include increasing the number of racers to 12 racers from 8 racers from previous entries in the series, as well as introducing a new type of vehicle to the franchise: bikes. The game takes advantage of features unique to the Wii, most notably its motion control capabilities. A Wii Wheel is included in most Mario Kart Wii packages, though the game is still compatible with other controllers. Game modes are also present such as the traditional Grand Prix, Versus, Battle, and Time Trial modes."
Resident Evil 3,"Apr 03, 2020","['K2', 'Capcom']",3.2,1300.0,1300.0,"['Adventure', 'Shooter']","Resident Evil 3 is a remake of the original Resident Evil 3: Nemesis released in 1999. It updates the story and gameplay for a modern audience. Like the Resident Evil 2 remake, the game uses over-the-shoulder third person point of view similar to Resident Evil 4 and later installments. Players will spend most of their time playing as Jill Valentine, although on some occasions they will assume the role of Carlos Oliveira, giving him more screen time as a deuteragonist."
Unpacking,"Nov 02, 2021","['Witch Beam', 'Humble Games']",3.6,751.0,751.0,"['Indie', 'Point-and-Click', 'Puzzle', 'Simulator']","Unpacking is a zen puzzle game about the familiar experience of pulling possessions out of boxes and fitting them into a new home. Part block-fitting puzzle, part home decoration, you are invited to create a satisfying living space while learning clues about the life you’re unpacking.
             

              Over the course of eight house moves, you are given a chance to experience a sense of intimacy with a character you never see and a story you’re never told."
Red Dead Redemption,"May 18, 2010","['Rockstar Games', 'Rockstar North']",4.2,1500.0,1500.0,"['Adventure', 'RPG', 'Shooter']","A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open-world filled with wildlife, mini games and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family, and meets many characters emblematic of the Wild West, heroism and the new civilization along his journey."
Tales of Arise,"Sep 10, 2021","['Bandai Namco Entertainment', 'Bandai Namco Studios']",3.6,650.0,650.0,"['Adventure', 'RPG']","On the planet Dahna, reverence has always been given to Rena--the planet in the sky--as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.
             

              Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featuring a diverse cast of characters, intuitive and rewarding combat system, and a captivating story set in a lush world worth fighting for, Tales of Arise delivers a first-class JRPG experience."
Deltarune: Chapter 1,"Oct 31, 2018","['8-4', 'tobyfox']",3.9,591.0,591.0,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']","The story follows a human named Kris who lives in a world inhabited by monsters. Kris and a classmate named Susie fall into an unknown place called the ""Dark World"" where they meet Ralsei, who informs them that they are heroes destined to save the world. The trio meets various beings who call themselves ""Darkners"" during a prophesied quest to seal the duplicate Dark Fountain. Mainly through the combat system, the player navigates through different kinds of bullet hell attacks by enemies, which can be resolved peacefully or through violence."
Dead Space,"Jan 27, 2023","['Motive Studios', 'Electronic Arts']",4.3,501.0,501.0,"['Adventure', 'RPG', 'Shooter']","The sci-fi survival horror classic Dead Space returns, completely rebuilt from the ground up by Motive Studios to offer a deeper and more immersive experience. Harnessing the power of the Frostbite game engine and next generation consoles, this remake brings jaw-dropping visual fidelity and improvements to gameplay while staying true to the original."
Tomb Raider,"Mar 04, 2013","['Square Enix', 'Crystal Dynamics']",3.5,896.0,896.0,"['Adventure', 'Platform', 'Puzzle', 'Shooter']","Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold."
Super Mario Galaxy 2,"May 23, 2010","['Nintendo EAD', 'Nintendo']",4.3,1800.0,1800.0,"['Adventure', 'Platform']","Super Mario Galaxy 2 is the sequel to Super Mario Galaxy and the fourth 3D platformer entry in the Mario franchise. The sequel retains many elements from its predecessor, such as the adventure being in outer space, the element of gravity, and recurring objects such as Launch Stars and Sling Stars. Returning items include the Bee Mushroom and the Fire Flower. However, the game introduces new elements as well, such as the utilization of Yoshi, new power-ups like the Cloud Flower, and the use of a guide within the game for beginner players."
Donkey Kong Country,"Nov 18, 1994",['Rare'],3.9,1300.0,1300.0,"['Adventure', 'Platform']","Donkey Kong Country is a side scrolling platformer by British developers Rare in 1994. It featured revolutionary pre-rendered 3D graphics that give the game a very unique look compared to most other games on consoles at the time. The two playable characters featured in the game are the titular character, Donkey Kong and his nephew, Diddy Kong. Together the two swing, climb, jump, swim, cartwheel, ride animals, and blast out of barrels on their way to recover their stolen bannanas from the evil King K. Rool and his Kremling army. The adventure takes you through a variety of different environments and levels that continually change up gameplay. Donkey Kong Country also provides plenty of opportunities for exploration with almost every level having a multitude of collectible, shortcuts, and hidden bonus areas."
What Remains of Edith Finch,"Apr 24, 2017","['Annapurna Interactive', 'Giant Sparrow']",4.0,1400.0,1400.0,"['Adventure', 'Indie', 'Puzzle']","What Remains of Edith Finch is a collection of short stories about a cursed family in Washington State.
             

              Each story offers a chance to experience the life of a different family member with stories ranging from the early 1900s to the present day. The gameplay and tone of the stories are as varied as the family members themselves. The only constants are that each is played from a first-person perspective and that each story ends with that family member's death. It's a game about what it feels like to be humbled and astonished by the vast and unknowable world around us.
             

              You'll follow Edith Finch as she explores the history of her family and tries to figure out why she's the last Finch left alive."
Monster Hunter Rise,"Mar 26, 2021","['Capcom', 'Capcom Development Division 2']",4.0,789.0,789.0,"['Adventure', 'Brawler', 'RPG']","Rise to the challenge and join the hunt! In Monster Hunter Rise, the latest installment in the award-winning and top-selling Monster Hunter series, youâ€™ll become a hunter, explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an all-new storyline."
Pokémon Emerald,"Sep 16, 2004","['Nintendo', 'Game Freak']",4.0,1200.0,1200.0,"['Adventure', 'RPG', 'Turn Based Strategy']","Pokémon Emerald Version is a sister game to Pokémon Ruby and Sapphire. Emerald Version provided the main storyline with more depth and length, as well as making small aesthetic changes to the world and adding unique animations for each Pokémon."
NEO: The World Ends with You,"Jul 26, 2021",['Square Enix'],4.2,725.0,725.0,"['Brawler', 'RPG']","Explore a stylized recreation of Shibuya, as you take on the role of Rindo to battle for survival and unravel the mysteries of the deadly “Reaper’s Game” in this new Action RPG and follow-up to the classic RPG hit ""The World Ends with You."""
Assassin's Creed II,"Nov 17, 2009","['Ubisoft Montreal', 'Ubisoft Entertainment']",3.8,1300.0,1300.0,"['Adventure', 'Platform']","Discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the Italian Renaissance.
              
              Experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful Venice. Your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements."
Pokémon Scarlet,"Nov 18, 2022","['Nintendo', 'Game Freak']",3.5,596.0,596.0,"['Adventure', 'RPG', 'Turn Based Strategy']","The Pokémon Scarlet and Pokémon Violet games, the newest chapters in the Pokémon series, are coming to Nintendo Switch later this year. With these new titles, the Pokémon series takes a new evolutionary step, allowing you to explore freely in a richly expressed open world.
             

              Various towns blend seamlessly into the wilderness with no borders. You’ll be able to see the Pokémon of this region in the skies, in the seas, in the forests, on the streets—all over! You’ll be able to experience the true joy of the Pokémon series—battling against wild Pokémon in order to catch them—now in an open-world game that players of any age can enjoy.​"
Dead Space,"Oct 14, 2008","['EA Redwood Shores', 'Electronic Arts']",4.0,1200.0,1200.0,['Shooter'],"Dead Space is a 2008 science fiction survival horror video game developed by EA Redwood Shores (now Visceral Games) for Microsoft Windows, PlayStation 3 and Xbox 360. The game was released on all platforms through October 2008. The game puts the player in control of an engineer named Isaac Clarke, who battles the Necromorphs, reanimated human corpses, aboard an interstellar mining ship, the USG Ishimura."
New Super Mario Bros.,"May 15, 2006",['Nintendo'],3.5,991.0,991.0,"['Adventure', 'Platform']","New Super Mario Bros. is a side-scrolling 2.5D action-adventure platformer game for the Nintendo DS, starring Mario and Luigi. The game features a solo story mode with Mario or Luigi, a two-player wireless game Mario Vs. Luigi, as well as a minigame mode for up to four players. The gameplay of New Super Mario Bros. is very much like that of the classic 2D platformers, mostly Super Mario Bros. and Super Mario Bros. 3, and substantially builds upon them to create gameplay both classic and contemporary. As the game is on DS, the touch screen allows players to store an additional power-up and view the distance still to go in a level."
Shadow of the Colossus,"Feb 06, 2018","['Sony Interactive Entertainment', 'Bluepoint Games']",4.1,1100.0,1100.0,"['Adventure', 'Platform', 'Puzzle']","Tales speak of an ancient land where creatures the size of mountains, roam the majestic landscape. Bound to the land, these creatures hold a key to a mystical power of revival - a power you must obtain to waken a loved one.
             

              Shadow of the Colossus is a majestic journey through ancient lands to seek out and destroy gigantic mythical beasts. With your trusty horse at your side, explore the spacious lands and unearth each Colossi. Armed with your wits, a sword and a bow, use cunning and strategy to topple each behemoth.
             

              A remake of the critically-claimed game of the same title. Also from the minds that brought you The Last Guardian & ICO"
Horizon Forbidden West,"Feb 18, 2022","['Guerrilla Games', 'Sony Interactive Entertainment']",3.8,830.0,830.0,"['Adventure', 'RPG']","Horizon Forbidden West continues Aloy’s story as she moves west to a far-future America to brave a majestic, but dangerous frontier where she’ll face awe-inspiring machines and mysterious new threats."
God of War,"Mar 22, 2005","['SCE Santa Monica Studio', 'Sony Computer Entertainment']",3.6,981.0,981.0,"['Adventure', 'Brawler', 'Strategy']","Similar to franchises like Devil May Cry, Rygar, and Castlevania, the game draws its inspiration from ancient Greek mythology and boasts a heavy emphasis on exploration and battle strategy. Broken into three to four acts, the game also has a strong focus on story-telling and boast tons of magic spells and abilities. Described as ""Clash of the Titans meets Heavy Metal"", God of War equips its hero with a pair of sword-like chain weapons that can grab enemies, perform multi-hit combos, and pull off a variety of different aerial attacks. Slight platforming elements and an energy collection system similar to that of Onimusha have been incorporated as well, and players are even able to use certain elements of their fallen enemies as a weapon (re: Medusa's head, for instance, can be used to turn enemies to stone after you've defeated her)."
Detroit: Become Human,"May 25, 2018","['Quantic Dream', 'Sony Interactive Entertainment']",3.5,1000.0,1000.0,"['Adventure', 'Puzzle']","Detroit: Become Human puts the destiny of both mankind and androids in your hands, taking you to a near future where machines have become more intelligent than humans. Every choice you make affects the outcome of the game, with one of the most intricately branching narratives ever created."
Final Fantasy XV,"Nov 29, 2016",['Square Enix'],3.3,1100.0,1100.0,"['Adventure', 'RPG']","Take the journey, now in ultimate quality. Boasting a wealth of bonus content and supporting ultra high-resolution graphical options and HDR 10, you can now enjoy the beautiful and carefully-crafted experience of FINAL FANTASY XV like never before."
Persona 5 Strikers,"Feb 20, 2020","['Omega Force', 'Sega']",3.7,993.0,993.0,"['Adventure', 'Brawler', 'RPG']","Persona 5 Scramble is a crossover between Koei Tecmo's hack and slash Dynasty Warriors series and Atlus's turn-based role-playing game Persona series. As a result, it features gameplay elements from both, such as the real-time action combat of the former with the turn-based Persona-battling aspect of the latter. The game is set six months after the events of Persona 5, and follows Joker and the rest of the Phantom Thieves of Hearts as they end up in a mysterious version of Tokyo filled with supernatural enemies."
Limbo,"Jul 21, 2010","['Microsoft Game Studios', 'Playdead']",3.5,965.0,965.0,"['Adventure', 'Indie', 'Platform', 'Puzzle']",Limbo is a black and white puzzle-platforming adventure. Play the role of a young boy traveling through an eerie and treacherous world in an attempt to discover the fate of his sister.
Pokémon Platinum,"Sep 13, 2008","['Nintendo', 'Game Freak']",4.1,1400.0,1400.0,"['Adventure', 'RPG', 'Turn Based Strategy']","In Pokémon Platinum another world has emerged in the Sinnoh Region, a world where space and time are altered! Catch, train, and battle your favorite Pokémon, and discover ancient, mythical Pokémon in this exciting adventure! The platinum version also has expanded online options with new experiences in the Wi-Fi Plaza and Battle Frontier!"
Stranger of Paradise: Final Fantasy Origin,"Mar 18, 2022","['Team NINJA', 'Square Enix']",3.6,607.0,607.0,"['Adventure', 'RPG']","Jack and his allies, Ash and Jed, burn with resolve to defeat Chaos as they throw open the gates to the Chaos Shrine. Yet doubts remain—are they truly the Warriors of Light the prophecy foretold?
              
              Step into a world of dark fantasy and revel in the exhilarating, action-packed battles!"
Killer7,"Jun 09, 2005","['Capcom', 'Grasshopper Manufacture']",4.3,1200.0,1200.0,"['Adventure', 'Shooter']","Sneak into a world of underground assassins as Harman Smith, a man who manifests 7 deadly personalities, the killer7. Take control of this distinct murderers' row as they hunt down the sinister Kun Lan to thwart his plan of world dominance."
Grand Theft Auto IV,"Apr 29, 2008","['Rockstar North', 'Rockstar Games']",3.8,1100.0,1100.0,"['Adventure', 'Racing', 'Shooter']","Grand Theft Auto IV is an action-adventure video game developed by Rockstar North and published by Rockstar Games. It is the eleventh title in the Grand Theft Auto series, and the first main entry since 2004's Grand Theft Auto: San Andreas.
             

              The game is played from a third-person perspective and its world is navigated on-foot or by vehicle. Throughout the single-player mode, players play as Niko Bellic. An online multiplayer mode is included with the game, allowing up to 32 players to engage in both co-operative and competitive gameplay in a recreation of the single-player setting.
             

              Two expansion packs were later released for the game, The Lost and Damned and The Ballad of Gay Tony, which both feature new plots that are interconnected with the main Grand Theft Auto IV storyline, and follow new protagonists."
Metroid: Zero Mission,"Feb 09, 2004","['Nintendo R&D1', 'Nintendo']",4.0,1200.0,1200.0,"['Adventure', 'Platform', 'Shooter']","The full story of Samus Aran's first mission finally unfolds...
             

              The first Metroid game just scratched the surface of the cataclysmic events on planet Zebes, and at long last the rest of the tale has come to light. Experience the first of Samus's legendary adventures through all-new cut-scenes and action sequences as the bounty hunter races through the deeps toward her showdown with the leader of the Space Pirates. But will the end of Mother Brain really mean the end of the story...?
             

              Completion of the game unlocks an emulated version of the original Metroid game. Zero Mission also allow players to unlock the Metroid Fusion picture gallery by linking between Zero Mission and Fusion cartridges via the Game Boy Advance Game Link Cable."
Final Fantasy X,"Jul 19, 2001","['Square Electronic Arts', 'Square']",4.1,1500.0,1500.0,"['Adventure', 'RPG']","Final Fantasy X is the tenth main installment in the FF series and the first title released on sixth-generation consoles. It was also the first game to feature fully three-dimensional areas rather than including pre-rendered backdrops, and the first to include voice acting. Final Fantasy X tells the story of a star blitzball player, Tidus, who journeys with a young and beautiful summoner named Yuna on her quest to save the world of Spira from an endless cycle of destruction wrought by the colossal menace Sin."
Danganronpa 2: Goodbye Despair,"Jul 26, 2012","['NIS America', 'Spike ChunSoft']",3.9,972.0,972.0,"['Adventure', 'Point-and-Click', 'Visual Novel']","The follow up to Danganronpa: Trigger Happy Havoc. The main character, Hajime Hinata, a new 'Ultimate' student at Hope's Peak Academy. On their first day, Hajime and all of his classmates are taken on a field trip to the mysterious Jabberwock island by their anthropomorphic rabbit teacher, Usami. Usami explains that on this island the students are to have fun together and become friends to gather Hope Fragments. Usami's field trip does not go as planned when Monokuma appears and begins a new Killing Game. Anyone that wants to leave the island must commit a murder and get away with it. If the murderer is successful, he/she is allowed to leave the island, while everyone else is killed. When a murder occurs, the player investigates. After the investigations, a trial commences to determine who the culprit is."
Final Fantasy IX,"Jul 07, 2000","['Square', 'Square Electronic Arts']",4.3,1600.0,1600.0,"['RPG', 'Turn Based Strategy']","Final Fantasy IX is the ninth main installment in the FF series. The title is a return to the series's roots, with gameplay features and references to the past games featuring throughout, as well as a medieval fantasy setting and cartoonish art style as a break from the sci-fi slant style of Final Fantasy VII and Final Fantasy VIII."
Halo 3,"Sep 25, 2007","['Bungie', 'Microsoft Game Studios']",4.2,1600.0,1600.0,['Shooter'],"Halo 3 is a shooter game where players primarily experience gameplay from a first-person perspective. Much of the gameplay takes place on foot, but also includes segments focused on vehicular combat. The balance of weapons and objects in the game was adjusted to better adhere to the ""Golden Triangle of Halo"": these are weapons, grenades, and melee attacks, which are available to a player in most situations. Players may dual-wield some weapons, forgoing the use of grenades and melee attacks in favor of the combined firepower of two weapons. Many weapons available in previous installments of the series return with minor cosmetic and power alterations. Unlike previous installments, the player's secondary weapon is visible on their player model, holstered or slung across the player's back.
              
              Halo 3 introduces ""support weapons"", which are cumbersome two-handed weapons that slow the player, but offer greatly increased firepower in return. In addition to weapons, the game contains a new class of gear called equipment; these items have various effects, ranging from defensive screens to shield regeneration and flares. Only one piece of equipment can be carried at a time. The game's vehicular component has been expanded with new drivable and AI-only vehicles."
Metroid Fusion,"Nov 17, 2002","['Nintendo', 'Nintendo R&D1']",4.0,1300.0,1300.0,"['Adventure', 'Platform', 'Shooter']","The famed Metroid series makes its return on the Game Boy Advance with Metroid Fusion. After Samus' exploits in the Super Nintendo classic Super Metroid, the intergalactic bounty hunter becomes infected with a parasitic life form known only as ""X"". Samus is rescued and revived by Metroid DNA only after undergoing some major changes in her body and suit, resulting in a drastic change in her appearance, and a new ability to absorb and assimilate the abilities of the ""X"" virus. Experience a new and enthralling chapter in the Metroid series, and relive the timeless gameplay and exploration that made the series a legend."
Final Fantasy VI,"Apr 02, 1994","['Square Enix', 'Square']",4.4,1600.0,1600.0,"['Adventure', 'RPG']","Final Fantasy VI is the sixth main installment in the Final Fantasy series, developed and published by Square. It was the final title in the series to feature two-dimensional graphics, and the first story that did not revolve around crystals.
             

              The game gives players up to fourteen playable characters, the largest cast in the series, and features the Active Time Battle pseudo-turn based menu command system. A party can consist of up to four characters, though some events require the player to assemble three different parties of up to four and switch between them.
             

              Each character has a unique command ability, such as Terra's Trance, Locke's Steal, Edgar's Tools or Sabin's Blitz, and can also learn Magic spells from earning AP from battles with magicite equipped. Each character's rare Desperation Attack will randomly activate after using the Attack command when at critical health."
VA-11 Hall-A: Cyberpunk Bartender Action,"Jun 21, 2016","['Ysbryd Games', 'SUKEBAN']",4.1,940.0,940.0,"['Adventure', 'Indie', 'Simulator', 'Visual Novel']","Learn about daily life in a cyberpunk dystopia.
             

              A branching storyline where your decisions do not depend on traditional choices, but through the drinks you prepare.
             

              Visuals inspired by old japanese adventure games for the PC-98, with a modern touch for an other-wordly experience.
             

              A beatiful soundtrack composed entirely by Garoad.
             

              Get to know your clients, their tastes, and prepare the drink that will change their lives."
Dead Cells,"Aug 06, 2018",['Motion Twin'],3.8,802.0,802.0,"['Adventure', 'Indie', 'Platform']","Dead Cells is a rogue-lite, metroidvania inspired, action-platformer. You'll explore a sprawling, ever-changing castle... assuming you’re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat."
